CITY,STATE,AREA,IDHM,IBGE_RES_POP,IBGE_POP
Santo Antônio Do Aventureiro,MG,202.03,0.67,3538,2374
São Gonçalo Do Abaeté,MG,NaN,0.67,6264,4161
São José Do Goiabal,MG,189.58,0.67,5636,3685
Taiobeiras,MG,NaN,0.67,30917,24995
Várzea Da Palma,MG,NaN,0.67,35809,31216
Vieiras,MG,112.69,0.67,3731,1851
Buenópolis,MG,NaN,0.669,10292,7683
Coimbra,MG,106.88,0.669,7054,5143
Coronel Pacheco,MG,131.51,0.669,2983,2141
Delfim Moreira,MG,408.47,0.669,7971,2998
Juramento,MG,431.63,0.669,4113,2270
Martinho Campos,MG,NaN,0.669,12611,10932
Paineiras,MG,637.31,0.669,4631,3568
Santo Antônio Do Rio Abaixo,MG,107.27,0.669,1777,887
Volta Grande,MG,205.55,0.669,5070,3787
Nepomuceno,MG,582.55,0.667,25733,19800
Santana Do Garambéu,MG,203.07,0.667,2234,1548
São Gonçalo Do Rio Abaixo,MG,363.83,0.667,9777,4649
São Thomé Das Letras,MG,369.75,0.667,6655,3787
Tapiraí,MG,407.92,0.667,1873,1084
Veríssimo,MG,NaN,0.667,3483,1969
Central De Minas,MG,204.33,0.665,6772,5594
Conceição Do Rio Verde,MG,369.68,0.665,12949,11353
Ipaba,MG,113.25,0.665,16708,14614
Mirabela,MG,723.28,0.665,13042,9999
Santana Do Riacho,MG,677.21,0.665,4023,2260
Chácara,MG,152.81,0.664,2792,1903
Inimutaba,MG,527.06,0.664,6724,4737
Mercês,MG,348.27,0.664,10368,7226
Rio Doce,MG,112.09,0.664,2465,1650
São Brás Do Suaçuí,MG,110.02,0.664,3513,3128
Uruana De Minas,MG,598.22,0.664,3235,1809
Conselheiro Pena,MG,NaN,0.662,22242,17446
Mato Verde,MG,472.25,0.662,12684,9160
Nova União,MG,172.13,0.662,5555,2984
Rosário Da Limeira,MG,111.16,0.662,4247,2283
São Joaquim De Bicas,MG,71.76,0.662,25537,21770
São Tiago,MG,572.4,0.662,10561,8436
Aguanil,MG,232.09,0.66,4054,2296
Alto Caparaó,MG,103.69,0.66,5297,3915
Alto Jequitibá,MG,152.27,0.66,8318,4719
Aracitaba,MG,106.61,0.66,2058,1640
Araçuaí,MG,NaN,0.66,36013,23201
Arinos,MG,NaN,0.66,17674,10806
Augusto De Lima,MG,NaN,0.66,4960,2827
Belmiro Braga,MG,393.09,0.66,3403,1316
Brasília De Minas,MG,NaN,0.66,31213,20565
Bueno Brandão,MG,356.15,0.66,10892,5621
Cordisburgo,MG,823.65,0.66,8667,5947
Cordislândia,MG,179.54,0.66,3435,2728
Divino Das Laranjeiras,MG,342.25,0.66,4937,4106
Espera Feliz,MG,317.64,0.66,22856,14080
Inhapim,MG,858.02,0.66,24294,13886
Januária,MG,NaN,0.66,65463,41121
Jeceaba,MG,236.25,0.66,5395,2985
Jesuânia,MG,153.85,0.66,4768,3081
Lajinha,MG,431.92,0.66,19609,12187
Mesquita,MG,274.94,0.66,6069,3805
Minduri,MG,219.77,0.66,3840,3365
Miradouro,MG,301.67,0.66,10251,5630
Onça De Pitangui,MG,246.98,0.66,3055,1517
Pescador,MG,317.46,0.66,4128,3195
São Francisco De Paula,MG,316.82,0.66,6483,4622
São Francisco Do Glória,MG,164.61,0.66,5178,3129
São José Do Divino,MG,328.7,0.66,3834,2686
São Sebastião Da Vargem Alegre,MG,73.63,0.66,2798,1602
Senador Amaral,MG,151.1,0.66,5219,3098
Seritinga,MG,114.77,0.66,1789,1482
Serro,MG,NaN,0.66,20835,12808
Toledo,MG,136.78,0.66,5764,2153
Couto De Magalhães De Minas,MG,485.65,0.659,4204,3819
Monte Azul,MG,NaN,0.659,21994,12329
São Pedro Dos Ferros,MG,402.74,0.659,8356,6732
Divinésia,MG,116.97,0.657,3293,2175
Heliodora,MG,153.95,0.657,6121,4413
Ibertioga,MG,346.24,0.657,5036,3426
Marliéria,MG,545.81,0.657,4012,2823
Santo Hipólito,MG,430.66,0.657,3238,2233
São José Do Mantimento,MG,54.7,0.657,2592,1437
Belo Vale,MG,365.92,0.655,7536,3292
Carmo Da Cachoeira,MG,506.33,0.655,11836,8903
Chalé,MG,212.67,0.655,5645,2781
Engenheiro Navarro,MG,608.31,0.655,7122,4724
Funilândia,MG,199.8,0.655,3855,2029
Lamim,MG,118.6,0.655,3452,1511
Pedra Dourada,MG,69.99,0.655,2191,1297
Raul Soares,MG,763.36,0.655,23818,15377
Abre Campo,MG,470.55,0.654,13311,7101
Francisco Sá,MG,NaN,0.654,24912,14810
Galiléia,MG,720.36,0.654,6951,5657
Iapu,MG,340.58,0.654,10315,7145
Sem-Peixe,MG,176.63,0.654,2847,1506
Bom Repouso,MG,229.85,0.653,10457,5652
Capelinha,MG,965.38,0.653,34803,24567
Itabirinha,MG,209.03,0.653,10692,8320
Ritápolis,MG,404.81,0.653,4925,3407
São João Da Mata,MG,120.54,0.653,2731,1706
Casa Grande,MG,157.73,0.652,2244,1122
Guarará,MG,88.66,0.652,3929,3486
Silveirânia,MG,157.46,0.652,2192,1428
Alpercata,MG,166.97,0.65,7172,5617
Cana Verde,MG,212.72,0.65,5589,4040
Carmésia,MG,259.1,0.65,2446,1303
Carvalhos,MG,282.25,0.65,4556,2414
Crucilândia,MG,167.16,0.65,4757,2914
Fernandes Tourinho,MG,151.88,0.65,3030,2008
Gameleiras,MG,NaN,0.65,5139,1406
Igaratinga,MG,218.34,0.65,9264,7628
Itamarandiba,MG,NaN,0.65,32175,21814
Itanhomi,MG,488.84,0.65,11856,8533
Lontra,MG,258.87,0.65,8397,5614
Marmelópolis,MG,107.9,0.65,2968,1549
Monjolos,MG,650.91,0.65,2360,1402
Periquito,MG,228.91,0.65,7036,5289
Piracema,MG,280.34,0.65,6406,3003
Porteirinha,MG,NaN,0.65,37627,19222
Rio Casca,MG,384.38,0.65,14201,11171
Santana Do Deserto,MG,182.66,0.65,3860,1404
São Geraldo,MG,185.58,0.65,10263,7226
São João Do Manhuaçu,MG,143.1,0.65,10245,4178
Serra Dos Aimorés,MG,213.57,0.65,8412,6761
Taquaraçu De Minas,MG,329.29,0.65,3794,1755
Virgínia,MG,326.52,0.65,8623,3902
