,name_x,cases,IDHM,IBGE_POP
483,Minduri,3,0.66,3365
484,Mirabela,92,0.665,9999
485,Miradouro,178,0.66,5630
486,Miraí,237,0.68,10323
487,Miravânia,5,0.593,1072
488,Moeda,108,0.638,1787
489,Moema,165,0.721,6458
490,Monjolos,8,0.65,1402
491,Monsenhor Paulo,27,0.721,6102
492,Montalvânia,137,0.613,10210
493,Monte Alegre de Minas,526,0.674,13210
494,Monte Azul,275,0.659,12329
495,Monte Belo,21,0.688,8953
496,Monte Carmelo,503,0.728,39350
497,Monte Formoso,13,0.541,1696
498,Monte Santo de Minas,152,0.71,16267
499,Montes Claros,11426,0.77,338940
500,Monte Sião,316,0.72,16545
501,Montezuma,9,0.59,3074
502,Morada Nova de Minas,37,0.696,6396
503,Morro da Garça,13,0.648,1520
504,Morro do Pilar,6,0.597,2581
505,Munhoz,76,0.647,3310
506,Muriaé,3484,0.73,92629
507,Mutum,407,0.644,13711
508,Muzambinho,88,0.74,15620
509,Nacip Raydan,49,0.585,1960
510,Nanuque,1313,0.701,36579
511,Naque,98,0.675,5945
512,Natalândia,19,0.67,2447
513,Natércia,49,0.693,2721
514,Nazareno,21,0.69,6217
515,Nepomuceno,154,0.667,19800
516,Ninheira,41,0.556,2614
517,Nova Belém,24,0.59,1348
518,Nova Era,177,0.71,15386
519,Nova Lima,4069,0.813,76049
520,Nova Módica,85,0.63,2321
521,Nova Ponte,339,0.701,10952
522,Nova Porteirinha,68,0.64,4065
523,Nova Resende,157,0.67,8801
524,Nova Serrana,1254,0.715,69346
525,Novo Cruzeiro,146,0.57,10471
526,Novo Oriente de Minas,153,0.555,4408
527,Novorizonte,8,0.616,1717
528,Olaria,5,0.636,917
529,Olhos-d'Água,10,0.626,2861
530,Olímpio Noronha,18,0.674,2248
531,Oliveira,339,0.7,35099
532,Oliveira Fortes,2,0.635,1171
533,Onça de Pitangui,26,0.66,1517
534,Oratórios,22,0.637,3240
535,Orizânia,30,0.562,2221
536,Ouro Branco,496,0.764,31547
537,Ouro Fino,277,0.722,22455
538,Ouro Preto,905,0.741,61519
539,Ouro Verde de Minas,27,0.595,3613
540,Padre Carvalho,54,0.599,3462
541,Padre Paraíso,382,0.596,11494
542,Paineiras,7,0.669,3568
543,Pains,87,0.728,6565
544,Pai Pedro,20,0.59,1742
545,Paiva,2,0.72,1218
546,Palma,46,0.703,5108
547,Palmópolis,49,0.565,4463
548,Papagaios,225,0.67,11821
549,Paracatu,2475,0.74,73521
550,Pará de Minas,730,0.725,78927
551,Paraguaçu,165,0.715,16567
552,Paraisópolis,203,0.73,15961
553,Paraopeba,350,0.69,19584
554,Passabém,7,0.642,1010
555,Passa Quatro,210,0.715,11611
556,Passa Tempo,88,0.687,6332
557,Passa Vinte,9,0.648,1295
558,Passos,1322,0.76,100405
559,Patis,29,0.614,2297
